iter	Passed	Remaining
0	1	184
1	3	169
2	5	163
3	6	149
4	7	147
5	9	149
6	11	158
7	13	156
8	15	154
9	16	150
10	18	147
11	19	144
12	21	142
13	22	139
14	24	138
15	26	140
16	29	142
17	31	143
18	33	143
19	36	144
20	38	144
21	40	144
22	42	143
23	45	143
24	48	144
25	50	143
26	53	143
27	56	144
28	58	143
29	61	142
30	64	142
31	67	143
32	69	141
33	72	140
34	75	139
35	77	138
36	81	137
37	83	135
38	85	134
39	88	132
40	90	130
41	91	126
42	94	124
43	96	122
44	98	120
45	101	119
46	103	116
47	106	115
48	109	113
49	111	111
50	114	110
51	116	107
52	119	106
53	122	104
54	124	101
55	127	100
56	130	98
57	132	96
58	135	94
59	138	92
60	140	89
61	142	87
62	144	85
63	147	83
64	150	81
65	152	78
66	154	76
67	156	73
68	158	71
69	161	69
70	164	67
71	166	64
72	169	62
73	172	60
74	174	58
75	177	56
76	179	53
77	182	51
78	184	49
79	187	46
80	190	44
81	192	42
82	195	40
83	198	37
84	200	35
85	203	33
86	205	30
87	208	28
88	211	26
89	213	23
90	215	21
91	217	18
92	219	16
93	222	14
94	225	11
95	227	9
96	230	7
97	232	4
98	234	2
99	236	0
